peak_in_padding,pointing_hit,peak_dist_px,pointing_hit_tol,energy_concentration,chance_rate,concentration_ratio,pixel_ap,pixel_auroc,iou@0.05,dice@0.05,iou@0.10,dice@0.10,iou@0.15,dice@0.15,iou@0.20,dice@0.20,iou@0.25,dice@0.25,iou@0.30,dice@0.30,iou@0.35,dice@0.35,iou@0.40,dice@0.40,iou@0.45,dice@0.45,iou@0.50,dice@0.50,iou@0.55,dice@0.55,iou@0.60,dice@0.60,iou@0.65,dice@0.65,iou@0.70,dice@0.70,iou@0.75,dice@0.75,iou@0.80,dice@0.80,iou@0.85,dice@0.85,iou@0.90,dice@0.90,iou@0.95,dice@0.95,row_idx,prob_malignant,label
False,False,409.88291010970437,False,0.02203889363588111,0.02784276832460733,0.7915482174379629,0.025287431678511656,0.5030602470950851,0.028224000807301027,0.054898545035208676,0.02789477165979404,0.05427553953747801,0.027170407089260856,0.05290340707196747,0.026486961032742073,0.051607009223173586,0.024603980972613494,0.048026323202956855,0.02206907540931363,0.043185095685388,0.018542600553830148,0.036410063837776944,0.014591266593117193,0.02876284682030236,0.007884171329907845,0.01564499484004128,0.0001708066956224684,0.0003415550513552416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6450117230415344,1
False,False,330.55256768024054,False,0.00017921012156709907,0.026399101307189542,0.006788493270348295,0.023619560614098308,0.28412491789644334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.46960827708244324,1
False,False,285.50656735003486,False,8.64750465796263e-05,0.0007264760147601476,0.11903358792674909,0.0005912673284345048,0.3884167208393757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.6483404040336609,0
False,False,184.28510520386612,False,0.0,0.0004515105078809107,0.0,0.0004515105078809107,0.34041247461957885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.06217387318611145,0
False,False,219.0091322296858,False,0.0,0.011255837711617046,0.0,0.011255837711617046,0.338668610121958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.06217387318611145,0
False,False,222.43425995111454,False,0.0,0.00048491379310344827,0.0,0.00048491379310344827,0.24872872980791694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.1572667956352234,0
False,False,141.7603611733548,False,0.007466993425757443,0.008463541666666666,0.8822539924587256,0.011097850669212268,0.655443623397307,0.013939253955422105,0.027495244712233902,0.013232281851700122,0.026118950390166984,0.010411360163015792,0.020608161336064284,0.006824206192544132,0.013555904100380909,0.002083379021469769,0.004158095154724909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.1572667956352234,0
False,False,280.2320467041555,False,0.0,0.005104347511574074,0.0,0.005104347511574074,0.3877371566199359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.06374947726726532,0
False,False,16.76305461424021,False,0.017946938182778965,0.00892920197740113,2.009915133312112,0.015663471072398766,0.6723852132423755,0.01681298152647709,0.0330699584524124,0.018022240211324612,0.03540637817025195,0.01938878243642623,0.03804001529246846,0.02009808457481262,0.03940421980733296,0.01924471943673992,0.03776270618772503,0.01936358841700781,0.03799152458854834,0.019395023280194875,0.03805202661826981,0.01766613245872312,0.034718915949459805,0.016223379946988394,0.03192876736969915,0.01578977369891125,0.031088664421997755,0.014887100220813448,0.029337450870297585,0.012672913877733154,0.025028641931788137,0.008333333333333333,0.01652892561983471,0.0038945476333133613,0.007758877946881528,0.0003999200159968006,0.0007995202878273036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.19906221330165863,0
False,False,92.35799911215054,False,0.0020074648405564136,0.0007766812865497076,2.5846700252999284,0.002573646227337733,0.8566712299660846,0.002619616303259111,0.005225543687082149,0.003515229213622547,0.007005831324308174,0.0042655693280473726,0.008494903058165101,0.003724503157098379,0.007421365415277576,0.002090800477897252,0.004172876304023845,0.0004585052728106373,0.0009165902841429881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0.23676930367946625,0
