peak_in_padding,pointing_hit,peak_dist_px,pointing_hit_tol,energy_concentration,chance_rate,concentration_ratio,pixel_ap,pixel_auroc,iou@0.3,iou@0.5,iou@0.7,prob_malignant,label
False,False,71.06335201775947,False,0.01761096356340163,0.02784276832460733,0.6325148188600603,0.026124854164633733,0.515623855428072,0.0,0.0,0.0,0.4458440840244293,1
False,False,311.1735849971845,False,0.007038122610039372,0.026399101307189542,0.26660462900388987,0.02091472706233681,0.40421642482038556,0.00044751628462035703,0.0,0.0,0.5001252889633179,1
False,False,285.50656735003486,False,0.0011276485538539215,0.0007264760147601476,1.5522171839716201,0.0018094200341271893,0.8035106388240006,0.0017606371829805073,0.0,0.0,0.6025583148002625,0
False,False,260.2498799231231,False,0.0007165815622056965,0.0004515105078809107,1.5870761581360588,0.0009418285226924063,0.7662179249202725,0.0013685374619850706,0.0,0.0,0.554897665977478,0
False,False,105.17128885774862,False,0.0,0.011255837711617046,0.0,0.011255837711617046,0.09025074263362792,0.0,0.0,0.0,0.554897665977478,0
False,False,307.19700519373555,False,0.0005737477957909878,0.00048491379310344827,1.1831954544311927,0.000832976542547825,0.6964423151791757,0.0,0.0,0.0,0.572111189365387,0
False,False,266.865134478073,False,0.009325799280652873,0.008463541666666666,1.1018790534679088,0.010874207897279603,0.6408808982113283,0.0,0.0,0.0,0.572111189365387,0
False,False,270.69170655932555,False,0.008367721628954458,0.005104347511574074,1.6393322770404453,0.008744223653575228,0.683535680618053,0.011461772085038954,0.0,0.0,0.5024936199188232,0
False,False,117.06835610018618,False,0.010210784039712829,0.00892920197740113,1.1435270548874634,0.010915201124080278,0.5320756547040213,0.01700497619303333,0.0,0.0,0.4908463954925537,0
False,False,313.3209217399949,False,0.0007661021656830124,0.0007766812865497076,0.9863790707335163,0.0011319340746718707,0.6652103645170747,0.0,0.0,0.0,0.4840041399002075,0
False,False,306.8110167513546,False,0.0005120252338549966,0.000849780701754386,0.6025380816461379,0.0010025945057523138,0.5848154208890687,0.0,0.0,0.0,0.4840041399002075,0
False,False,251.62273347215668,False,0.0006019752976968094,0.0007681354916067146,0.7836837436552414,0.0008799750363132488,0.5716509430726631,0.0,0.0,0.0,0.5319742560386658,0
False,False,244.56083087853622,False,0.00042034187586103915,0.001259929556354916,0.33362331547894164,0.0010806578677181632,0.45563917429528467,0.0,0.0,0.0,0.5319742560386658,0
False,False,325.5718046760192,False,0.03236271290336895,0.013072115384615385,2.4757058785953445,0.12169831093227457,0.9529882369243509,0.0388528478751679,0.12036800408893432,0.07983870967741935,0.613323450088501,1
False,True,0.0,True,0.03446670666589972,0.008996478873239436,3.8311329522957025,0.5079289506187751,0.9897590692849131,0.030925183448067176,0.07978453491549241,0.20598194130925507,0.6062156558036804,1
False,False,31.0,False,0.021806554729630265,0.007845833333333333,2.7793803160442185,0.03270082754723909,0.887716409560315,0.04172792830637821,0.013641561836301257,0.0,0.4642010033130646,0
False,False,114.82595525402782,False,0.0023691655409898613,0.006676509186351706,0.354850937048506,0.007371489774486473,0.5745679835939608,0.0,0.0,0.0,0.375643253326416,0
False,False,270.0,False,0.011138009863428265,0.00586314308681672,1.8996653669380994,0.012089683436489512,0.7805728814545952,0.012395242635620012,0.0,0.0,0.48612016439437866,1
False,False,152.8201557386983,False,0.00018201241236016485,0.0004559608540925267,0.3991842955957567,0.0003623574194651944,0.38235823284366866,0.0,0.0,0.0,0.5881398320198059,0
False,True,0.0,True,0.4818979572808306,0.3085480385638298,1.5618247308389215,0.4674331254722703,0.6020172118822636,0.2149259932485069,0.14109151848976625,0.05924754810011255,0.37411680817604065,1
False,False,193.08029417835473,False,0.3722766323447438,0.4028679653679654,0.9240661068812445,0.39164309434515154,0.49509827613194735,0.070357390639176,0.036144104460001575,0.003119342994773822,0.4140755832195282,1
True,False,283.83269720030495,False,0.017433440969028078,0.006192333040421793,2.8153267686391414,0.024390763511817945,0.8865242869318861,0.022724711715434023,0.0,0.0,0.5564864277839661,1
False,False,56.60388679233962,False,0.039963371078549706,0.029440789473684212,1.3574150623328614,0.043680909642502645,0.6590564420503192,0.04977632226717182,0.05518787591351025,0.0,0.5855737924575806,1
False,False,322.88852565552713,False,0.03518407534225516,0.024223694620253165,1.4524652780603557,0.03575606446404823,0.6963610379418744,0.04139713343480467,0.0,0.0,0.5486651659011841,1
False,False,205.6428943581567,False,0.01262237337987785,0.014294563093243997,0.8830191799176801,0.01374620941990404,0.534895577153969,0.011491964913677561,0.003452842682811465,0.0,0.5051722526550293,0
False,True,0.0,True,0.1148955916116649,0.03783854166666667,3.036469867782472,0.34895079673052404,0.8141595780077777,0.1167809373946274,0.17833517089305403,0.20471281296023564,0.5332983136177063,0
False,False,136.8575902169843,False,0.0033812099877011943,0.0023125,1.4621448595464626,0.004013454921257322,0.7357114818972638,0.004239056425574908,0.0,0.0,0.523812472820282,0
False,False,304.00657887618155,False,0.0,0.0021875,0.0,0.0021875,0.18842557379983,0.0,0.0,0.0,0.4597100019454956,0
True,False,261.6123085789352,False,0.0019515215272272856,0.0029102782509937536,0.6705618359897073,0.002147366866373104,0.3556247654596416,0.0,0.0,0.0,0.6239850521087646,1
